Generating contour dataset: liber-antiphons
Contours of antiphons from the Liber Usualis in GregoBaseCorpus v0.3
NumExpr defaulting to 4 threads.
Number of chants in the liber usualis: 2156
Number of antiphons: 3818
Number of antiphons in the Liber Usualis: 1036
Extracted 04 contours from 02381.gabc
Extracted 08 contours from 02382.gabc
Extracted 02 contours from 02383.gabc
Extracted 04 contours from 02385.gabc
Extracted 05 contours from 02386.gabc
Extracted 09 contours from 02387.gabc
Extracted 06 contours from 02388.gabc
Extracted 04 contours from 02389.gabc
Extracted 11 contours from 02390.gabc
Extracted 04 contours from 02392.gabc
Extracted 03 contours from 02393.gabc
Extracted 06 contours from 02394.gabc
Extracted 04 contours from 02395.gabc
Extracted 03 contours from 02396.gabc
Extracted 05 contours from 02397.gabc
Extracted 03 contours from 02398.gabc
Extracted 08 contours from 02399.gabc
Extracted 04 contours from 02400.gabc
Extracted 05 contours from 02401.gabc
Extracted 04 contours from 02402.gabc
Extracted 06 contours from 02403.gabc
Extracted 03 contours from 02404.gabc
Extracted 04 contours from 02405.gabc
Extracted 02 contours from 02406.gabc
Extracted 04 contours from 02409.gabc
Extracted 03 contours from 02410.gabc
Extracted 06 contours from 02411.gabc
Extracted 04 contours from 02413.gabc
Extracted 03 contours from 02414.gabc
Extracted 04 contours from 02415.gabc
Extracted 05 contours from 02416.gabc
Extracted 09 contours from 02418.gabc
Extracted 04 contours from 02419.gabc
Extracted 04 contours from 02420.gabc
Extracted 05 contours from 02421.gabc
Extracted 04 contours from 02422.gabc
Extracted 04 contours from 02423.gabc
Extracted 05 contours from 02424.gabc
Extracted 04 contours from 02425.gabc
Extracted 02 contours from 02426.gabc
Extracted 02 contours from 02427.gabc
Extracted 07 contours from 02428.gabc
Extracted 04 contours from 02429.gabc
Extracted 04 contours from 02430.gabc
Extracted 04 contours from 02431.gabc
Extracted 08 contours from 02433.gabc
Extracted 05 contours from 02434.gabc
Extracted 20 contours from 02435.gabc
Extracted 02 contours from 02436.gabc
Extracted 04 contours from 02437.gabc
Extracted 03 contours from 02438.gabc
Extracted 04 contours from 02439.gabc
Extracted 03 contours from 02440.gabc
Extracted 03 contours from 02442.gabc
Extracted 06 contours from 02443.gabc
Extracted 05 contours from 02444.gabc
Extracted 08 contours from 02445.gabc
Extracted 03 contours from 02446.gabc
Extracted 04 contours from 02447.gabc
Extracted 04 contours from 02448.gabc
Extracted 04 contours from 02449.gabc
Extracted 04 contours from 02450.gabc
Extracted 04 contours from 02451.gabc
Extracted 04 contours from 02452.gabc
Extracted 06 contours from 02453.gabc
Extracted 04 contours from 02454.gabc
Extracted 04 contours from 02455.gabc
Extracted 08 contours from 02456.gabc
Extracted 04 contours from 02457.gabc
Extracted 04 contours from 02458.gabc
Extracted 04 contours from 02459.gabc
Extracted 04 contours from 02461.gabc
Extracted 13 contours from 02462.gabc
Extracted 04 contours from 02463.gabc
Extracted 04 contours from 02464.gabc
Extracted 04 contours from 02465.gabc
Extracted 03 contours from 02466.gabc
Extracted 02 contours from 02467.gabc
Extracted 04 contours from 02469.gabc
Extracted 04 contours from 02470.gabc
Extracted 06 contours from 02471.gabc
Extracted 04 contours from 02472.gabc
Extracted 03 contours from 02474.gabc
Extracted 04 contours from 02475.gabc
Extracted 04 contours from 02476.gabc
Extracted 04 contours from 02477.gabc
Extracted 04 contours from 02478.gabc
Extracted 11 contours from 02479.gabc
Extracted 05 contours from 02480.gabc
Extracted 04 contours from 02481.gabc
Extracted 04 contours from 02482.gabc
Extracted 07 contours from 02483.gabc
Extracted 05 contours from 02484.gabc
Extracted 02 contours from 02485.gabc
Extracted 11 contours from 02486.gabc
Extracted 03 contours from 02487.gabc
Extracted 06 contours from 02488.gabc
Extracted 04 contours from 02489.gabc
Extracted 04 contours from 02490.gabc
Extracted 04 contours from 02491.gabc
Extracted 04 contours from 02493.gabc
Extracted 09 contours from 02494.gabc
Extracted 03 contours from 02495.gabc
Extracted 03 contours from 02496.gabc
Extracted 03 contours from 02499.gabc
Extracted 05 contours from 02500.gabc
Extracted 05 contours from 02502.gabc
Extracted 05 contours from 02503.gabc
Extracted 07 contours from 02504.gabc
Extracted 03 contours from 02505.gabc
Extracted 06 contours from 02506.gabc
Extracted 04 contours from 02507.gabc
Extracted 03 contours from 02508.gabc
Extracted 06 contours from 02509.gabc
Extracted 05 contours from 02510.gabc
Extracted 03 contours from 02511.gabc
Extracted 03 contours from 02512.gabc
Extracted 02 contours from 02513.gabc
Extracted 05 contours from 02514.gabc
Extracted 02 contours from 02515.gabc
Extracted 05 contours from 02516.gabc
Extracted 04 contours from 02517.gabc
Extracted 07 contours from 02519.gabc
Extracted 06 contours from 02521.gabc
Extracted 06 contours from 02523.gabc
Extracted 08 contours from 02524.gabc
Extracted 05 contours from 02525.gabc
Extracted 10 contours from 02526.gabc
Extracted 03 contours from 02527.gabc
Extracted 04 contours from 02528.gabc
Extracted 06 contours from 02529.gabc
Extracted 05 contours from 02530.gabc
Extracted 04 contours from 02531.gabc
Extracted 04 contours from 02533.gabc
Extracted 05 contours from 02534.gabc
Extracted 03 contours from 02535.gabc
Extracted 04 contours from 02536.gabc
Extracted 04 contours from 02537.gabc
Extracted 02 contours from 02538.gabc
Extracted 02 contours from 02540.gabc
Extracted 07 contours from 02541.gabc
Extracted 04 contours from 02542.gabc
Extracted 04 contours from 02543.gabc
Extracted 06 contours from 02544.gabc
Extracted 04 contours from 02545.gabc
Extracted 04 contours from 02546.gabc
Extracted 06 contours from 02547.gabc
Extracted 06 contours from 02548.gabc
Extracted 04 contours from 02549.gabc
Extracted 03 contours from 02550.gabc
Extracted 04 contours from 02551.gabc
Extracted 05 contours from 02552.gabc
Extracted 05 contours from 02553.gabc
Extracted 04 contours from 02554.gabc
Extracted 04 contours from 02555.gabc
Extracted 05 contours from 02556.gabc
Extracted 05 contours from 02557.gabc
Extracted 06 contours from 02558.gabc
Extracted 03 contours from 02559.gabc
Extracted 03 contours from 02561.gabc
Extracted 04 contours from 02562.gabc
Extracted 04 contours from 02564.gabc
Extracted 04 contours from 02565.gabc
Extracted 03 contours from 02566.gabc
Extracted 05 contours from 02567.gabc
Extracted 03 contours from 02568.gabc
Extracted 04 contours from 02569.gabc
Extracted 04 contours from 02570.gabc
Extracted 05 contours from 02572.gabc
Extracted 05 contours from 02573.gabc
Extracted 04 contours from 02574.gabc
Extracted 05 contours from 02575.gabc
Extracted 13 contours from 02576.gabc
Extracted 08 contours from 02577.gabc
Extracted 03 contours from 02579.gabc
Extracted 04 contours from 02580.gabc
Extracted 03 contours from 02581.gabc
Extracted 02 contours from 02582.gabc
Extracted 04 contours from 02583.gabc
Extracted 04 contours from 02584.gabc
Extracted 05 contours from 02585.gabc
Extracted 05 contours from 02586.gabc
Extracted 04 contours from 02589.gabc
Extracted 02 contours from 02590.gabc
Extracted 04 contours from 02592.gabc
Extracted 06 contours from 02593.gabc
Extracted 02 contours from 02594.gabc
Extracted 02 contours from 02595.gabc
Extracted 09 contours from 02596.gabc
Extracted 03 contours from 02597.gabc
Extracted 07 contours from 02598.gabc
Extracted 02 contours from 02600.gabc
Extracted 05 contours from 02601.gabc
Extracted 14 contours from 02602.gabc
Extracted 04 contours from 02603.gabc
Extracted 04 contours from 02605.gabc
Extracted 03 contours from 02606.gabc
Extracted 05 contours from 02607.gabc
Extracted 03 contours from 02608.gabc
Extracted 03 contours from 02609.gabc
Extracted 04 contours from 02610.gabc
Extracted 04 contours from 02612.gabc
Extracted 05 contours from 02613.gabc
Extracted 05 contours from 02616.gabc
Extracted 04 contours from 02617.gabc
Extracted 04 contours from 02618.gabc
Extracted 04 contours from 02619.gabc
Extracted 04 contours from 02620.gabc
Extracted 04 contours from 02621.gabc
Extracted 02 contours from 02622.gabc
Extracted 04 contours from 02623.gabc
Extracted 07 contours from 02624.gabc
Extracted 07 contours from 02625.gabc
Extracted 06 contours from 02626.gabc
Extracted 05 contours from 02627.gabc
Extracted 04 contours from 02629.gabc
Extracted 04 contours from 02630.gabc
Extracted 04 contours from 02631.gabc
Extracted 05 contours from 02632.gabc
Extracted 04 contours from 02633.gabc
Extracted 05 contours from 02634.gabc
Extracted 02 contours from 02635.gabc
Extracted 02 contours from 02636.gabc
Extracted 06 contours from 02637.gabc
Extracted 05 contours from 02638.gabc
Extracted 06 contours from 02639.gabc
Extracted 07 contours from 02640.gabc
Extracted 04 contours from 02641.gabc
Extracted 04 contours from 02642.gabc
Extracted 04 contours from 02643.gabc
Extracted 04 contours from 02645.gabc
Extracted 04 contours from 02646.gabc
Extracted 06 contours from 02647.gabc
Extracted 04 contours from 02648.gabc
Extracted 03 contours from 02649.gabc
Extracted 04 contours from 02650.gabc
Extracted 03 contours from 02651.gabc
Extracted 04 contours from 02652.gabc
Extracted 06 contours from 02653.gabc
Extracted 04 contours from 02656.gabc
Extracted 04 contours from 02657.gabc
Extracted 02 contours from 02658.gabc
Extracted 02 contours from 02660.gabc
Extracted 04 contours from 02661.gabc
Extracted 06 contours from 02663.gabc
Extracted 05 contours from 02664.gabc
Extracted 07 contours from 02665.gabc
Extracted 04 contours from 02666.gabc
Extracted 02 contours from 02667.gabc
Extracted 04 contours from 02668.gabc
Extracted 06 contours from 02669.gabc
Extracted 03 contours from 02670.gabc
