,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
han0341,48.0,71.0,71.0,76.0,71.0,67.0,71.0,72.0,67.0,67.0,74.0,74.0,72.0,74.0,72.0,71.0,71.0,69.0,67.0,72.0,72.0,72.0,72.0,64.0,67.0,67.0,67.0,67.0,62.0,60.0,55.0,55.0,55.0,55.0,74.0,74.0,74.0,73.0,69.0,67.0,69.0,67.0,62.0,67.0,62.0,67.0,62.0,67.0,69.0,67.0,62.0,65.0,65.0,65.0,65.0,67.0,67.0,67.0,67.0,74.0,74.0,72.0,71.0,67.0,67.0,67.0,67.0,71.0,71.0,74.0,66.0,67.0,72.0,69.0,67.0,65.0,64.0,60.0,55.0,55.0,74.0,74.0,72.0,69.0,67.0,67.0,67.0,67.0,71.0,74.0,72.0,71.0,72.0,67.0,67.0,65.0,64.0,62.0,55.0,55.0,55.0
han0355,48.0,76.0,76.0,76.0,71.0,73.0,71.0,71.0,71.0,73.0,76.0,76.0,71.0,73.0,71.0,71.0,71.0,71.0,68.0,71.0,73.0,71.0,76.0,76.0,73.0,71.0,71.0,68.0,66.0,68.0,71.0,68.0,71.0,71.0,73.0,73.0,71.0,73.0,73.0,76.0,76.0,73.0,71.0,68.0,68.0,68.0,73.0,71.0,73.0,71.0,68.0,66.0,64.0,66.0,66.0,66.0,71.0,71.0,68.0,66.0,71.0,68.0,66.0,64.0,64.0,64.0,66.0,64.0,64.0,64.0,64.0,64.0,73.0,71.0,73.0,78.0,76.0,73.0,71.0,68.0,66.0,64.0,66.0,66.0,66.0,71.0,71.0,68.0,66.0,71.0,68.0,66.0,64.0,64.0,64.0,66.0,64.0,64.0,64.0,64.0,64.0
han0433,64.0,74.0,74.0,74.0,72.0,74.0,74.0,72.0,69.0,69.0,72.0,74.0,74.0,77.0,72.0,72.0,69.0,67.0,69.0,72.0,72.0,72.0,64.0,62.0,62.0,62.0,74.0,74.0,74.0,74.0,77.0,74.0,69.0,69.0,67.0,72.0,74.0,74.0,74.0,72.0,72.0,69.0,67.0,72.0,72.0,72.0,72.0,64.0,62.0,62.0,62.0,69.0,67.0,67.0,69.0,67.0,69.0,72.0,72.0,72.0,62.0,62.0,62.0,69.0,69.0,65.0,69.0,67.0,69.0,69.0,72.0,72.0,64.0,62.0,62.0,62.0,79.0,74.0,74.0,79.0,74.0,74.0,74.0,69.0,72.0,74.0,72.0,74.0,72.0,74.0,69.0,67.0,69.0,72.0,72.0,72.0,72.0,62.0,62.0,62.0,62.0
han1063,72.0,76.0,76.0,79.0,79.0,74.0,76.0,74.0,79.0,79.0,76.0,74.0,74.0,74.0,74.0,79.0,74.0,71.0,74.0,69.0,69.0,67.0,67.0,76.0,76.0,79.0,74.0,74.0,74.0,74.0,79.0,79.0,76.0,74.0,74.0,74.0,74.0,76.0,79.0,76.0,71.0,74.0,71.0,71.0,67.0,67.0,67.0,76.0,76.0,76.0,74.0,74.0,74.0,76.0,79.0,79.0,74.0,74.0,74.0,74.0,74.0,79.0,76.0,71.0,71.0,74.0,69.0,67.0,67.0,67.0,76.0,74.0,79.0,74.0,74.0,74.0,74.0,79.0,76.0,76.0,74.0,74.0,74.0,79.0,79.0,71.0,71.0,74.0,69.0,67.0,67.0,67.0,69.0,71.0,71.0,69.0,69.0,71.0,69.0,69.0,69.0
han1077,18.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,82.0,82.0,82.0,86.0,86.0,86.0,84.0,84.0,84.0,84.0,84.0,82.0,82.0,82.0,79.0,79.0,79.0,79.0,79.0,79.0,82.0,82.0,84.0,84.0,84.0,82.0,82.0,82.0,79.0,79.0,79.0,79.0,79.0,77.0,77.0,77.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,77.0,74.0,74.0,74.0,77.0,77.0,77.0,79.0,79.0,79.0,79.0,79.0,84.0,84.0,84.0,84.0,84.0,82.0,79.0,79.0,79.0,82.0,82.0,84.0,84.0,84.0,84.0,84.0,84.0,82.0,82.0,82.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0
han0351b,48.0,71.0,71.0,71.0,76.0,73.0,71.0,71.0,69.0,66.0,69.0,69.0,69.0,71.0,66.0,64.0,64.0,64.0,69.0,66.0,69.0,71.0,66.0,64.0,64.0,64.0,64.0,61.0,66.0,69.0,64.0,64.0,64.0,64.0,66.0,66.0,69.0,71.0,73.0,71.0,73.0,71.0,69.0,66.0,69.0,64.0,66.0,66.0,69.0,69.0,69.0,71.0,73.0,71.0,73.0,66.0,69.0,69.0,69.0,69.0,66.0,61.0,66.0,64.0,64.0,64.0,64.0,69.0,69.0,69.0,69.0,71.0,66.0,64.0,64.0,64.0,64.0,64.0,64.0,66.0,69.0,69.0,66.0,66.0,71.0,73.0,71.0,73.0,64.0,66.0,69.0,69.0,69.0,66.0,69.0,69.0,66.0,64.0,64.0,64.0,64.0
han0369,24.0,84.0,84.0,87.0,84.0,87.0,82.0,82.0,84.0,84.0,82.0,82.0,84.0,84.0,84.0,84.0,84.0,84.0,82.0,82.0,82.0,84.0,84.0,84.0,80.0,80.0,82.0,82.0,82.0,82.0,84.0,84.0,84.0,84.0,80.0,80.0,80.0,80.0,82.0,84.0,84.0,84.0,84.0,80.0,80.0,82.0,80.0,77.0,77.0,77.0,77.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,80.0,80.0,80.0,80.0,84.0,87.0,84.0,84.0,82.0,82.0,82.0,84.0,84.0,84.0,84.0,82.0,82.0,84.0,84.0,84.0,82.0,80.0,80.0,80.0,80.0,77.0,77.0,77.0,77.0,80.0,82.0,77.0,77.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
han0382,36.0,74.0,74.0,74.0,77.0,77.0,72.0,74.0,74.0,74.0,74.0,74.0,72.0,72.0,72.0,77.0,77.0,77.0,74.0,74.0,77.0,72.0,69.0,72.0,72.0,72.0,69.0,67.0,65.0,67.0,67.0,67.0,67.0,67.0,72.0,72.0,72.0,69.0,67.0,65.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,72.0,72.0,72.0,74.0,74.0,74.0,72.0,74.0,65.0,65.0,65.0,67.0,69.0,65.0,62.0,62.0,62.0,62.0,62.0,72.0,72.0,72.0,69.0,67.0,65.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,72.0,72.0,72.0,74.0,74.0,74.0,72.0,74.0,65.0,65.0,65.0,67.0,69.0,65.0,62.0,62.0,62.0,62.0,62.0,62.0
han0396,34.0,74.0,74.0,69.0,74.0,74.0,74.0,74.0,74.0,73.0,73.0,73.0,74.0,69.0,69.0,67.0,66.0,66.0,64.0,62.0,62.0,62.0,62.0,62.0,62.0,69.0,67.0,67.0,69.0,69.0,69.0,61.0,61.0,61.0,62.0,62.0,67.0,67.0,64.0,62.0,62.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,62.0,62.0,62.0,67.0,67.0,67.0,69.0,69.0,69.0,69.0,74.0,74.0,69.0,67.0,67.0,66.0,64.0,64.0,62.0,62.0,62.0,62.0,62.0,74.0,74.0,69.0,74.0,74.0,74.0,74.0,74.0,79.0,73.0,73.0,69.0,67.0,67.0,67.0,67.0,69.0,69.0,64.0,62.0,62.0,60.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0
han1088,32.0,84.0,84.0,84.0,84.0,79.0,82.0,82.0,84.0,84.0,84.0,84.0,84.0,84.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,91.0,87.0,87.0,87.0,84.0,84.0,84.0,79.0,79.0,82.0,84.0,84.0,84.0,84.0,76.0,79.0,79.0,77.0,77.0,77.0,79.0,76.0,76.0,77.0,77.0,77.0,77.0,77.0,77.0,84.0,84.0,84.0,79.0,79.0,82.0,84.0,84.0,84.0,84.0,84.0,84.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,91.0,91.0,87.0,87.0,87.0,86.0,86.0,84.0,82.0,82.0,82.0,84.0,82.0,82.0,81.0,81.0,79.0,77.0,77.0,77.0,79.0,79.0,75.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
han0143,44.0,69.0,69.0,69.0,65.0,65.0,67.0,67.0,69.0,69.0,62.0,62.0,62.0,60.0,60.0,67.0,67.0,69.0,67.0,65.0,65.0,65.0,62.0,62.0,67.0,67.0,69.0,69.0,69.0,69.0,69.0,67.0,67.0,64.0,64.0,62.0,65.0,60.0,60.0,60.0,60.0,62.0,60.0,62.0,65.0,65.0,62.0,62.0,62.0,60.0,60.0,62.0,62.0,62.0,62.0,65.0,65.0,65.0,67.0,69.0,69.0,69.0,72.0,72.0,69.0,69.0,69.0,69.0,60.0,67.0,67.0,69.0,67.0,65.0,65.0,65.0,62.0,62.0,57.0,57.0,65.0,65.0,65.0,65.0,62.0,60.0,62.0,69.0,69.0,72.0,72.0,65.0,65.0,65.0,65.0,60.0,62.0,62.0,62.0,62.0,62.0
