,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
papago021,36.0,88.0,88.0,88.0,51.0,51.0,51.0,58.0,58.0,54.0,58.0,58.0,53.0,53.0,53.0,54.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,54.0,54.0,54.0,58.0,58.0,54.0,58.0,58.0,53.0,53.0,53.0,54.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,53.0,51.0,51.0,51.0,51.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0,53.0,53.0,51.0,53.0,51.0,51.0,51.0,51.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
papago022,37.0,88.0,88.0,88.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,58.0,58.0,55.0,55.0,55.0,55.0,60.0,60.0,62.0,62.0,62.0,60.0,60.0,60.0,60.0,60.0,58.0,58.0,58.0,55.0,55.0,55.0,58.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,58.0,55.0,55.0,55.0,55.0,55.0,55.0,58.0,58.0,58.0,58.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,50.0,50.0,53.0,53.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,55.0,55.0,55.0,55.0,53.0,50.0,50.0,50.0,50.0,55.0,55.0,55.0,53.0,53.0,53.0,50.0,50.0,53.0,53.0,53.0,53.0,50.0,50.0,53.0,53.0,53.0
papago023,28.0,88.0,88.0,88.0,88.0,53.0,53.0,53.0,53.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,58.0,58.0,55.0,55.0,55.0,55.0,55.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,58.0,58.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,55.0,55.0,53.0,53.0,53.0,53.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,50.0,50.0,50.0,55.0,55.0,55.0,55.0,53.0,53.0,53.0,50.0,50.0,50.0,50.0,53.0,53.0,53.0,50.0,50.0,50.0,50.0,53.0,53.0,53.0,53.0
papago024,43.0,88.0,88.0,88.0,57.0,57.0,57.0,57.0,63.0,63.0,61.0,59.0,59.0,59.0,58.0,56.0,56.0,56.0,56.0,52.0,56.0,56.0,56.0,56.0,56.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,59.0,59.0,59.0,59.0,59.0,61.0,61.0,59.0,58.0,58.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,58.0,58.0,56.0,56.0,52.0,56.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
papago025,27.0,88.0,88.0,88.0,88.0,56.0,56.0,56.0,56.0,63.0,63.0,63.0,59.0,59.0,59.0,59.0,58.0,58.0,58.0,58.0,56.0,56.0,56.0,56.0,56.0,52.0,52.0,56.0,56.0,56.0,56.0,58.0,58.0,56.0,56.0,56.0,56.0,52.0,56.0,56.0,56.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,56.0,56.0,52.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,58.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,52.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,51.0,51.0,51.0,51.0,54.0,54.0,52.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
papago026,41.0,88.0,88.0,88.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,56.0,56.0,56.0,54.0,56.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,49.0,49.0,49.0,49.0,49.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,56.0,56.0,56.0,54.0,56.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,49.0,49.0,49.0,49.0,49.0,54.0,54.0,54.0,54.0,54.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,49.0,49.0,49.0,49.0,49.0,54.0,54.0,54.0,54.0,54.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,49.0,49.0,49.0,49.0,49.0
papago027,45.0,88.0,88.0,88.0,54.0,54.0,61.0,61.0,61.0,61.0,61.0,61.0,63.0,63.0,61.0,61.0,59.0,56.0,56.0,54.0,54.0,54.0,54.0,56.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,61.0,61.0,61.0,61.0,61.0,61.0,63.0,61.0,61.0,61.0,59.0,56.0,56.0,54.0,54.0,54.0,54.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0,56.0,56.0,56.0,59.0,56.0,59.0,54.0,56.0,56.0,56.0,51.0,54.0,54.0,54.0,54.0,54.0,56.0,56.0,56.0,52.0,54.0,54.0,52.0,52.0,49.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
papago028,28.0,88.0,88.0,88.0,88.0,55.0,55.0,62.0,62.0,62.0,62.0,62.0,60.0,60.0,57.0,57.0,53.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,62.0,62.0,62.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,60.0,57.0,57.0,57.0,55.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,60.0,60.0,60.0,60.0,60.0,60.0,62.0,60.0,60.0,60.0,60.0,57.0,57.0,55.0,55.0,52.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
papago029,45.25,88.0,88.0,88.0,61.0,61.0,57.0,57.0,56.0,57.0,56.0,54.0,54.0,56.0,54.0,54.0,49.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,49.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,61.0,61.0,57.0,57.0,57.0,57.0,56.0,54.0,54.0,54.0,54.0,54.0,49.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,49.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,54.0,54.0,54.0,54.0,54.0,49.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
papago030,28.0,88.0,88.0,88.0,88.0,54.0,54.0,54.0,54.0,61.0,61.0,61.0,61.0,61.0,57.0,57.0,61.0,61.0,61.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0,57.0,57.0,57.0,57.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,54.0,54.0,54.0,54.0,56.0,56.0,56.0,54.0,54.0,54.0,54.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0,54.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
