,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
pueblo21,44.5,60.0,60.0,57.0,60.0,60.0,57.0,60.0,60.0,43.0,43.0,43.0,60.0,60.0,43.0,43.0,43.0,60.0,43.0,60.0,60.0,60.0,59.0,43.0,43.0,43.0,57.0,43.0,57.0,57.0,53.0,53.0,43.0,43.0,43.0,43.0,57.0,53.0,57.0,57.0,53.0,53.0,57.0,53.0,57.0,57.0,57.0,57.0,57.0,57.0,60.0,60.0,57.0,60.0,57.0,57.0,53.0,53.0,53.0,57.0,57.0,57.0,60.0,57.0,57.0,53.0,53.0,53.0,53.0,48.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,57.0,60.0,60.0,59.0,60.0,57.0,60.0,59.0,60.0,57.0,57.0,57.0,57.0,52.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
pueblo22,51.5,55.0,55.0,55.0,55.0,55.0,55.0,67.0,67.0,69.0,69.0,67.0,67.0,64.0,64.0,64.0,62.0,64.0,64.0,62.0,62.0,60.0,60.0,57.0,57.0,62.0,62.0,62.0,62.0,62.0,57.0,57.0,60.0,60.0,55.0,55.0,60.0,60.0,57.0,57.0,55.0,55.0,57.0,57.0,53.0,53.0,55.0,55.0,55.0,55.0,55.0,69.0,69.0,67.0,67.0,69.0,69.0,67.0,67.0,69.0,69.0,71.0,69.0,67.0,67.0,67.0,62.0,60.0,60.0,55.0,55.0,57.0,55.0,55.0,55.0,57.0,55.0,55.0,57.0,57.0,57.0,69.0,67.0,67.0,64.0,64.0,60.0,57.0,57.0,57.0,57.0,57.0,55.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
pueblo23,55.0,55.0,55.0,55.0,55.0,55.0,55.0,67.0,67.0,67.0,67.0,67.0,62.0,60.0,62.0,62.0,62.0,62.0,62.0,60.0,57.0,62.0,62.0,62.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,64.0,67.0,60.0,60.0,60.0,60.0,57.0,55.0,55.0,57.0,57.0,57.0,57.0,62.0,64.0,67.0,62.0,60.0,60.0,57.0,62.0,62.0,62.0,62.0,60.0,60.0,57.0,55.0,57.0,55.0,55.0,55.0,55.0,55.0,57.0,57.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,62.0,62.0,62.0,57.0,62.0,62.0,62.0,62.0,60.0,60.0,60.0,55.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
pueblo24,122.5,56.0,56.0,56.0,58.0,63.0,63.0,63.0,58.0,63.0,63.0,63.0,63.0,58.0,61.0,63.0,58.0,53.0,58.0,61.0,53.0,53.0,53.0,49.0,49.0,49.0,58.0,63.0,63.0,63.0,58.0,63.0,63.0,63.0,63.0,67.0,65.0,65.0,65.0,65.0,65.0,65.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,61.0,58.0,61.0,53.0,58.0,58.0,58.0,58.0,58.0,66.0,63.0,63.0,65.0,58.0,58.0,58.0,63.0,63.0,63.0,63.0,63.0,67.0,63.0,63.0,65.0,58.0,58.0,63.0,63.0,63.0,62.0,63.0,63.0,63.0,63.0,61.0,58.0,58.0,63.0,63.0,61.0,58.0,58.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
pueblo25,49.5,56.0,56.0,56.0,56.0,56.0,56.0,66.0,66.0,66.0,68.0,68.0,66.0,61.0,61.0,61.0,63.0,59.0,59.0,59.0,56.0,56.0,61.0,61.0,61.0,63.0,63.0,61.0,56.0,56.0,61.0,61.0,59.0,59.0,61.0,59.0,56.0,56.0,61.0,61.0,59.0,59.0,61.0,59.0,56.0,56.0,56.0,61.0,59.0,56.0,56.0,56.0,56.0,56.0,61.0,56.0,56.0,56.0,56.0,56.0,61.0,61.0,61.0,61.0,61.0,61.0,59.0,59.0,59.0,56.0,56.0,56.0,56.0,61.0,61.0,61.0,61.0,61.0,61.0,59.0,59.0,59.0,56.0,56.0,56.0,56.0,59.0,59.0,59.0,59.0,59.0,59.0,56.0,56.0,59.0,56.0,56.0,56.0,56.0,56.0,56.0
pueblo26,34.0,44.0,44.0,44.0,66.0,66.0,66.0,44.0,44.0,44.0,66.0,66.0,66.0,44.0,44.0,44.0,66.0,66.0,66.0,44.0,44.0,44.0,66.0,66.0,66.0,44.0,68.0,68.0,68.0,63.0,63.0,66.0,66.0,66.0,63.0,63.0,44.0,44.0,63.0,63.0,63.0,61.0,44.0,44.0,44.0,63.0,63.0,61.0,44.0,44.0,59.0,59.0,56.0,56.0,54.0,54.0,54.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,66.0,66.0,66.0,63.0,44.0,44.0,44.0,66.0,66.0,61.0,59.0,59.0,59.0,63.0,63.0,61.0,44.0,59.0,59.0,59.0,56.0,56.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,54.0,54.0,44.0
pueblo27,162.0,57.0,57.0,57.0,57.0,60.0,60.0,62.0,57.0,57.0,62.0,62.0,60.0,60.0,57.0,57.0,64.0,66.0,64.0,62.0,62.0,57.0,57.0,62.0,64.0,62.0,59.0,57.0,60.0,60.0,60.0,57.0,60.0,60.0,57.0,57.0,57.0,60.0,62.0,57.0,57.0,57.0,62.0,60.0,60.0,62.0,60.0,57.0,62.0,60.0,60.0,60.0,57.0,64.0,64.0,64.0,64.0,62.0,62.0,57.0,62.0,62.0,62.0,62.0,57.0,57.0,60.0,57.0,57.0,57.0,60.0,57.0,57.0,57.0,57.0,60.0,62.0,57.0,57.0,57.0,60.0,60.0,57.0,60.0,57.0,64.0,62.0,62.0,60.0,60.0,57.0,57.0,57.0,60.0,64.0,57.0,60.0,57.0,57.0,57.0,57.0
pueblo28,82.0,44.0,44.0,56.0,44.0,44.0,44.0,44.0,63.0,63.0,44.0,44.0,59.0,59.0,56.0,44.0,44.0,61.0,61.0,59.0,44.0,44.0,44.0,44.0,56.0,44.0,44.0,61.0,44.0,44.0,59.0,59.0,61.0,56.0,44.0,44.0,44.0,56.0,44.0,44.0,44.0,44.0,44.0,44.0,63.0,68.0,44.0,44.0,63.0,61.0,59.0,63.0,44.0,44.0,44.0,44.0,59.0,61.0,44.0,63.0,44.0,44.0,63.0,63.0,59.0,44.0,44.0,44.0,59.0,56.0,56.0,56.0,63.0,61.0,44.0,56.0,44.0,63.0,61.0,59.0,44.0,56.0,44.0,56.0,44.0,44.0,44.0,56.0,44.0,44.0,44.0,59.0,44.0,59.0,44.0,56.0,56.0,56.0,44.0,56.0,44.0
pueblo29,63.5,55.0,52.0,55.0,52.0,52.0,52.0,52.0,64.0,65.0,62.0,57.0,60.0,57.0,55.0,52.0,52.0,52.0,55.0,52.0,52.0,52.0,52.0,55.0,55.0,57.0,52.0,52.0,52.0,52.0,55.0,57.0,52.0,55.0,57.0,55.0,52.0,52.0,55.0,55.0,52.0,52.0,52.0,52.0,52.0,55.0,55.0,57.0,52.0,52.0,52.0,55.0,55.0,57.0,52.0,55.0,57.0,55.0,52.0,52.0,55.0,55.0,52.0,52.0,52.0,52.0,52.0,55.0,55.0,55.0,57.0,52.0,55.0,55.0,52.0,48.0,52.0,52.0,52.0,52.0,52.0,52.0,57.0,55.0,57.0,55.0,52.0,55.0,52.0,52.0,52.0,55.0,55.0,52.0,55.0,55.0,52.0,52.0,52.0,52.0,52.0
pueblo30,126.0,51.0,63.0,63.0,63.0,60.0,56.0,56.0,63.0,63.0,65.0,63.0,58.0,58.0,60.0,56.0,56.0,56.0,51.0,56.0,60.0,56.0,56.0,56.0,56.0,51.0,56.0,56.0,56.0,51.0,51.0,51.0,51.0,51.0,55.0,55.0,63.0,65.0,63.0,60.0,56.0,53.0,65.0,63.0,58.0,56.0,51.0,60.0,56.0,56.0,51.0,56.0,51.0,51.0,56.0,51.0,56.0,56.0,51.0,56.0,56.0,51.0,60.0,56.0,56.0,56.0,63.0,63.0,63.0,60.0,56.0,58.0,56.0,56.0,51.0,56.0,51.0,56.0,58.0,60.0,56.0,56.0,58.0,60.0,56.0,51.0,51.0,51.0,56.0,56.0,56.0,51.0,51.0,56.0,51.0,51.0,56.0,51.0,51.0,51.0,51.0
