,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
pawnee22,83.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,62.0,60.0,58.0,62.0,60.0,60.0,58.0,58.0,60.0,58.0,58.0,58.0,58.0,58.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,62.0,60.0,58.0,62.0,60.0,58.0,58.0,60.0,60.0,58.0,55.0,55.0,50.0,58.0,58.0,55.0,53.0,53.0,55.0,53.0,53.0,50.0,48.0,46.0,50.0,48.0,48.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,58.0,58.0,58.0,58.0,58.0,60.0,58.0,62.0,55.0,53.0,50.0,58.0,55.0,53.0,53.0,53.0,55.0,53.0,53.0,50.0,46.0,46.0,50.0,48.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
pawnee23,35.75,69.0,69.0,69.0,69.0,68.0,68.0,68.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,68.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,68.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,62.0,62.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,57.0,57.0,57.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,59.0,57.0,57.0,57.0,56.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0,52.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
pawnee24,36.0,65.0,65.0,64.0,65.0,65.0,64.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,64.0,64.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,65.0,64.0,64.0,65.0,64.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,64.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,65.0,64.0,62.0,62.0,62.0,62.0,62.0,60.0,57.0,57.0,57.0,57.0,55.0,57.0,57.0,57.0,58.0,58.0,57.0,50.0,50.0,50.0,50.0,46.0,53.0,53.0,53.0,53.0,53.0,52.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.0,52.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
pawnee25,31.0,60.0,60.0,72.0,72.0,72.0,72.0,72.0,72.0,60.0,70.0,70.0,70.0,68.0,67.0,65.0,70.0,70.0,70.0,67.0,67.0,67.0,67.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,67.0,67.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,68.0,68.0,67.0,67.0,67.0,67.0,65.0,65.0,65.0,63.0,63.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,58.0,58.0,58.0,55.0,53.0,53.0,58.0,58.0,58.0,55.0,55.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0
pawnee26,69.0,66.0,66.0,66.0,66.0,64.0,64.0,64.0,64.0,66.0,66.0,66.0,66.0,64.0,61.0,61.0,66.0,59.0,59.0,59.0,59.0,59.0,59.0,68.0,66.0,64.0,61.0,68.0,66.0,64.0,66.0,61.0,59.0,68.0,61.0,61.0,61.0,59.0,59.0,59.0,66.0,61.0,61.0,61.0,61.0,59.0,59.0,63.0,54.0,54.0,54.0,52.0,52.0,52.0,52.0,56.0,54.0,54.0,54.0,52.0,49.0,49.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,56.0,54.0,52.0,49.0,56.0,54.0,52.0,54.0,49.0,47.0,56.0,49.0,49.0,49.0,47.0,47.0,47.0,49.0,49.0,49.0,49.0,47.0,47.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
pawnee27,31.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,69.0,69.0,66.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,66.0,64.0,66.0,64.0,64.0,66.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,66.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,66.0,66.0,66.0,64.0,64.0,64.0,64.0,62.0,62.0,62.0,59.0,59.0,59.0,59.0,57.0,59.0,59.0,57.0,59.0,55.0,55.0,55.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0,56.0,59.0,59.0,59.0,56.0,56.0,56.0,52.0,56.0,56.0,56.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,56.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
pawnee28,33.5,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,71.0,71.0,71.0,68.0,68.0,68.0,68.0,68.0,68.0,71.0,71.0,71.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,71.0,68.0,68.0,68.0,68.0,68.0,71.0,71.0,71.0,66.0,66.0,66.0,66.0,66.0,66.0,64.0,64.0,64.0,61.0,59.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,59.0,59.0,59.0,56.0,56.0,56.0,56.0,56.0,59.0,59.0,59.0,59.0,56.0,56.0,56.0,56.0,56.0,59.0,56.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,68.0,68.0,68.0,68.0,68.0,71.0,71.0,71.0,68.0
pawnee29,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,65.0,65.0,65.0,65.0,62.0,62.0,60.0,60.0,57.0,55.0,55.0,60.0,60.0,62.0,60.0,56.0,56.0,55.0,55.0,53.0,53.0,53.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,60.0,60.0,60.0,60.0,55.0,60.0,60.0,60.0,60.0,60.0,60.0,55.0,56.0,55.0,53.0,53.0,56.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,48.0,48.0,48.0,50.0,48.0,44.0,44.0,44.0,43.0,41.0,41.0,41.0,44.0,43.0,44.0,43.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
pawnee30,55.0,65.0,65.0,60.0,60.0,65.0,65.0,65.0,65.0,62.0,57.0,57.0,60.0,60.0,60.0,60.0,57.0,53.0,53.0,53.0,53.0,60.0,60.0,57.0,57.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,60.0,58.0,55.0,60.0,60.0,60.0,60.0,57.0,53.0,53.0,52.0,53.0,60.0,60.0,57.0,57.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,50.0,48.0,53.0,53.0,53.0,53.0,53.0,48.0,45.0,41.0,48.0,48.0,48.0,48.0,45.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,53.0,53.0,53.0,53.0,53.0,53.0
pawnee31,53.0,63.0,63.0,66.0,66.0,63.0,63.0,63.0,61.0,61.0,61.0,61.0,61.0,63.0,63.0,63.0,61.0,61.0,61.0,59.0,59.0,59.0,56.0,56.0,56.0,54.0,56.0,56.0,51.0,51.0,47.0,47.0,47.0,47.0,47.0,51.0,51.0,51.0,51.0,47.0,47.0,51.0,51.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,63.0,63.0,61.0,61.0,61.0,59.0,56.0,56.0,56.0,56.0,54.0,54.0,56.0,51.0,47.0,47.0,47.0,47.0,47.0,51.0,51.0,51.0,51.0,59.0,59.0,51.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
